"unigram","bigram","freq"
"of","the",2127
"in","the",1722
"to","the",962
"on","the",813
"to","be",738
"and","the",638
"for","the",620
"at","the",575
"it","was",549
"and","i",522
"i","was",522
"i","have",517
"in","a",506
"is","a",491
"it","is",483
"with","the",476
"i","am",436
"from","the",435
"with","a",384
"that","i",383
"of","a",360
"for","a",357
"is","the",346
"as","a",343
"one","of",331
"was","a",322
"that","the",313
"have","a",305
"to","get",304
"this","is",295
"if","you",283
"of","my",279
"the","first",279
"and","a",270
"by","the",267
"a","few",262
"going","to",260
"will","be",259
"to","do",257
"i","had",253
"you","can",251
"want","to",246
"but","i",242
"all","the",240
"have","been",239
"as","the",234
"out","of",231
"have","to",228
"i","dont",228
"a","little",227
"in","my",227
"when","i",226
"to","a",216
"to","make",216
"so","i",214
"would","be",211
"on","a",207
"the","same",204
"he","was",203
"i","think",203
"into","the",200
"there","is",199
"to","have",194
"that","is",190
"they","are",189
"has","been",187
"a","lot",186
"about","the",186
"and","then",182
"as","i",179
"i","would",179
"i","can",176
"to","see",176
"the","most",175
"the","world",174
"is","not",172
"i","will",167
"you","are",167
"be","a",162
"there","are",162
"a","bit",161
"part","of",161
"and","it",155
"i","know",155
"if","i",154
"had","a",153
"need","to",152
"you","have",152
"some","of",149
"to","me",146
"we","are",146
"is","that",145
"more","than",145
"as","well",143
"to","go",143
"in","this",141
"over","the",141
"the","other",141
"the","way",141
"of","this",140
"was","the",140
"able","to",139
"the","last",139
"but","it",138
"can","be",138
"like","a",138
"they","were",138
"i","could",136
"all","of",135
"we","have",135
"that","you",134
"a","good",133
"back","to",132
"a","new",131
"the","time",131
"i","just",130
"on","my",130
"but","the",129
"she","was",129
"the","best",129
"for","me",128
"i","love",127
"of","his",127
"a","great",126
"i","didnt",126
"we","were",126
"would","have",126
"lot","of",124
"that","it",124
"that","they",124
"at","least",123
"had","to",122
"so","much",122
"to","say",122
"with","my",122
"and","that",119
"wanted","to",119
"kind","of",118
"he","is",117
"at","a",115
"trying","to",114
"the","end",113
"there","was",113
"to","my",113
"me","to",112
"to","take",112
"that","he",109
"the","new",109
"from","a",108
"i","do",108
"that","we",108
"is","to",107
"it","to",107
"which","is",107
"i","thought",106
"it","and",106
"of","course",106
"what","i",106
"the","only",105
"time","to",105
"you","know",105
"a","couple",104
"of","them",104
"the","next",104
"up","to",104
"it","would",102
"of","their",102
"when","the",102
"because","i",101
"i","cant",101
"through","the",101
"to","find",101
"and","we",100
"do","not",100
"up","with",100
"way","to",100
"its","a",98
"of","our",98
"and","he",95
"do","you",95
"most","of",95
"not","a",95
"im","not",94
"in","his",93
"up","the",93
"i","got",92
"like","the",92
"a","very",91
"she","is",90
"that","was",90
"to","give",90
"up","and",90
"couple","of",89
"of","her",89
"be","the",88
"should","be",88
"such","a",88
"are","the",87
"how","to",87
"into","a",87
"decided","to",86
"i","did",86
"of","it",86
"used","to",86
"after","the",85
"during","the",85
"go","to",84
"has","a",84
"they","have",84
"around","the",83
"is","an",83
"not","to",83
"out","the",83
"and","they",82
"he","has",82
"he","said",82
"i","want",82
"by","a",81
"for","this",81
"like","to",81
"me","i",81
"such","as",81
"the","rest",81
"this","year",81
"end","of",80
"for","my",80
"had","been",80
"its","not",80
"of","those",80
"dont","know",79
"i","also",79
"ive","been",79
"new","york",79
"we","had",79
"what","is",79
"it","has",78
"of","these",78
"off","the",78
"in","our",77
"me","and",77
"the","right",77
"at","all",76
"have","the",76
"if","the",76
"in","your",76
"the","day",76
"of","us",75
"that","she",75
"then","i",75
"i","hope",74
"my","life",74
"so","that",74
"the","whole",74
"was","not",74
"i","really",73
"in","their",73
"it","i",73
"it","in",73
"of","all",73
"of","your",73
"well","as",73
"as","you",72
"could","be",72
"did","not",72
"make","a",72
"not","the",72
"time","i",72
"to","use",72
"when","you",72
"about","it",71
"according","to",71
"are","a",71
"may","be",71
"the","book",71
"them","to",71
"and","its",70
"it","will",70
"on","this",70
"see","the",70
"than","the",70
"the","one",70
"this","week",70
"to","work",70
"you","dont",70
"you","want",70
"and","not",69
"to","this",69
"it","all",68
"look","at",68
"their","own",68
"those","who",68
"to","keep",68
"who","is",68
"as","much",67
"based","on",67
"in","that",67
"just","a",67
"know","that",67
"you","to",67
"and","you",66
"are","not",66
"the","fact",66
"the","story",66
"to","her",66
"you","will",66
"and","his",65
"and","in",65
"as","it",65
"even","though",65
"get","a",65
"in","an",65
"of","an",65
"the","top",65
"this","was",65
"when","we",65
"a","big",64
"and","she",64
"in","fact",64
"people","who",64
"to","come",64
"to","help",64
"went","to",64
"and","to",63
"for","you",63
"i","feel",63
"if","they",63
"is","no",63
"out","to",63
"seems","to",63
"there","were",63
"was","in",63
"when","it",63
"because","it",62
"enough","to",62
"last","year",62
"not","be",62
"rest","of",62
"that","this",62
"the","city",62
"the","past",62
"the","second",62
"when","he",62
"do","it",61
"instead","of",61
"is","one",61
"number","of",61
"try","to",61
"a","small",60
"and","more",60
"and","my",60
"because","of",60
"bit","of",60
"does","not",60
"fact","that",60
"get","the",60
"i","made",60
"me","a",60
"my","own",60
"the","house",60
"and","im",59
"and","was",59
"away","from",59
"been","a",59
"i","need",59
"out","and",59
"up","in",59
"and","other",58
"be","able",58
"he","had",58
"we","can",58
"years","ago",58
"first","time",57
"now","i",57
"of","that",57
"this","one",57
"tried","to",57
"with","all",57
"along","with",56
"and","is",56
"and","this",56
"for","all",56
"for","it",56
"i","found",56
"i","like",56
"in","her",56
"in","which",56
"so","many",56
"with","me",56
"and","have",55
"is","my",55
"know","what",55
"lots","of",55
"or","the",55
"seem","to",55
"take","a",55
"they","can",55
"to","his",55
"to","know",55
"but","its",54
"if","it",54
"many","of",54
"to","read",54
"was","going",54
"who","have",54
"after","a",53
"and","as",53
"for","her",53
"for","that",53
"how","much",53
"i","felt",53
"i","used",53
"i","wanted",53
"in","order",53
"might","be",53
"rather","than",53
"right","now",53
"say","that",53
"she","has",53
"the","us",53
"with","her",53
"and","if",52
"had","the",52
"i","never",52
"i","still",52
"let","me",52
"sense","of",52
"so","the",52
"sort","of",52
"thank","you",52
"that","a",52
"the","two",52
"time","and",52
"to","look",52
"which","i",52
"who","are",52
"with","this",52
"about","this",51
"all","that",51
"and","so",51
"as","we",51
"being","a",51
"each","other",51
"from","my",51
"i","get",51
"no","one",51
"or","a",51
"to","write",51
"under","the",51
"when","she",51
"a","day",50
"a","year",50
"and","what",50
"it","seems",50
"that","has",50
"to","share",50
"to","try",50
"as","an",49
"before","the",49
"down","the",49
"front","of",49
"get","to",49
"here","is",49
"i","guess",49
"i","went",49
"just","as",49
"last","week",49
"like","this",49
"much","as",49
"must","be",49
"my","favorite",49
"of","what",49
"on","their",49
"think","that",49
"this","time",49
"too","much",49
"what","we",49
"when","they",49
"while","the",49
"a","while",48
"against","the",48
"dont","have",48
"i","saw",48
"is","just",48
"on","his",48
"so","we",48
"that","would",48
"to","put",48
"was","just",48
"about","a",47
"can","see",47
"could","have",47
"him","and",47
"up","for",47
"what","the",47
"with","an",47
"you","see",47
"and","how",46
"at","this",46
"but","not",46
"do","we",46
"do","with",46
"have","no",46
"i","decided",46
"if","we",46
"it","for",46
"it","with",46
"looking","for",46
"on","our",46
"order","to",46
"out","in",46
"the","idea",46
"to","you",46
"a","week",45
"and","their",45
"and","when",45
"is","it",45
"it","a",45
"it","doesnt",45
"it","the",45
"it","up",45
"make","it",45
"me","that",45
"not","sure",45
"of","you",45
"on","your",45
"she","said",45
"so","it",45
"a","man",44
"before","i",44
"got","to",44
"im","going",44
"not","only",44
"ready","to",44
"said","the",44
"tell","you",44
"the","s",44
"the","very",44
"think","of",44
"where","the",44
"with","his",44
"a","long",43
"and","all",43
"and","for",43
"and","there",43
"as","he",43
"come","to",43
"for","an",43
"got","a",43
"him","to",43
"i","said",43
"i","should",43
"if","he",43
"in","all",43
"is","so",43
"of","people",43
"talk","about",43
"than","a",43
"the","country",43
"the","entire",43
"the","th",43
"the","year",43
"theres","a",43
"things","that",43
"though","i",43
"to","your",43
"was","to",43
"what","you",43
"where","i",43
"you","may",43
"and","even",42
"and","some",42
"because","they",42
"dont","want",42
"find","a",42
"for","their",42
"for","those",42
"hard","to",42
"has","to",42
"here","in",42
"is","what",42
"made","a",42
"may","not",42
"not","have",42
"of","me",42
"she","had",42
"side","of",42
"so","far",42
"that","are",42
"the","great",42
"the","kids",42
"the","people",42
"they","will",42
"to","it",42
"was","so",42
"a","book",41
"a","way",41
"across","the",41
"amount","of",41
"and","has",41
"as","they",41
"be","in",41
"down","to",41
"for","our",41
"for","some",41
"having","a",41
"his","own",41
"i","started",41
"in","front",41
"in","some",41
"is","going",41
"is","in",41
"its","just",41
"like","i",41
"like","that",41
"looking","at",41
"love","to",41
"me","in",41
"of","its",41
"on","to",41
"or","not",41
"said","that",41
"the","case",41
"them","and",41
"them","in",41
"this","blog",41
"to","an",41
"us","to",41
"we","all",41
"will","have",41
"and","on",40
"at","home",40
"but","he",40
"can","get",40
"continue","to",40
"even","if",40
"for","example",40
"for","your",40
"he","would",40
"how","it",40
"in","and",40
"know","the",40
"made","the",40
"should","have",40
"the","game",40
"think","i",40
"to","tell",40
"top","of",40
"which","was",40
"and","get",39
"and","had",39
"back","and",39
"due","to",39
"have","had",39
"how","the",39
"i","havent",39
"more","of",39
"my","first",39
"of","which",39
"piece","of",39
"that","there",39
"the","morning",39
"the","word",39
"to","that",39
"what","was",39
"with","you",39
"you","could",39
"you","do",39
"am","not",38
"and","one",38
"but","there",38
"chance","to",38
"feel","like",38
"for","them",38
"here","are",38
"i","took",38
"in","one",38
"it","but",38
"know","how",38
"know","i",38
"make","the",38
"managed","to",38
"may","have",38
"of","time",38
"on","and",38
"since","the",38
"that","if",38
"the","back",38
"the","front",38
"the","more",38
"the","name",38
"the","truth",38
"to","start",38
"would","not",38
"about","how",37
"are","all",37
"comes","to",37
"even","more",37
"for","his",37
"full","of",37
"how","i",37
"i","mean",37
"i","remember",37
"i","wasnt",37
"if","youre",37
"it","comes",37
"its","the",37
"less","than",37
"made","it",37
"make","sure",37
"needed","to",37
"no","longer",37
"on","her",37
"the","main",37
"the","middle",37
"the","night",37
"the","united",37
"they","had",37
"to","hear",37
"to","think",37
"up","a",37
"you","the",37
"a","huge",36
"are","you",36
"as","if",36
"because","the",36
"day","and",36
"forward","to",36
"i","say",36
"interested","in",36
"is","very",36
"it","can",36
"it","on",36
"it","out",36
"little","bit",36
"love","the",36
"my","husband",36
"of","how",36
"of","one",36
"something","that",36
"talking","about",36
"than","i",36
"that","my",36
"the","movie",36
"these","are",36
"to","our",36
"to","show",36
"to","stop",36
"we","could",36
"what","it",36
"with","that",36
"with","their",36
"with","them",36
"a","large",35
"a","nice",35
"a","whole",35
"and","her",35
"any","of",35
"but","then",35
"but","we",35
"check","out",35
"for","years",35
"he","could",35
"i","find",35
"im","a",35
"in","it",35
"in","its",35
"is","now",35
"its","been",35
"much","more",35
"much","of",35
"out","there",35
"since","i",35
"something","to",35
"the","lord",35
"the","original",35
"time","for",35
"to","buy",35
"to","create",35
"to","him",35
"to","live",35
"to","talk",35
"to","watch",35
"up","on",35
"way","of",35
"we","got",35
"we","will",35
"with","your",35
"you","and",35
"you","need",35
"you","think",35
"all","i",34
"and","just",34
"better","than",34
"but","they",34
"for","him",34
"for","us",34
"go","back",34
"going","on",34
"her","and",34
"i","couldnt",34
"i","knew",34
"im","sure",34
"in","new",34
"it","wasnt",34
"last","night",34
"like","it",34
"long","as",34
"not","just",34
"read","the",34
"said","he",34
"so","you",34
"that","im",34
"that","will",34
"the","church",34
"the","man",34
"the","state",34
"this","book",34
"united","states",34
"what","do",34
"while","i",34
"would","like",34
"years","of",34
"you","get",34
"a","time",33
"all","over",33
"between","the",33
"but","that",33
"day","i",33
"didnt","have",33
"do","that",33
"down","and",33
"hope","you",33
"i","believe",33
"is","also",33
"it","could",33
"my","blog",33
"of","being",33
"over","and",33
"supposed","to",33
"that","have",33
"the","following",33
"the","place",33
"this","weekend",33
"to","learn",33
"to","leave",33
"to","play",33
"wants","to",33
"we","do",33
"will","not",33
"with","it",33
"your","own",33
"a","better",32
"and","of",32
"as","long",32
"be","more",32
"believe","that",32
"close","to",32
"did","you",32
"do","a",32
"every","day",32
"her","to",32
"i","needed",32
"i","tried",32
"is","still",32
"my","heart",32
"now","and",32
"quite","a",32
"that","in",32
"the","big",32
"the","film",32
"the","final",32
"to","their",32
"version","of",32
"well","i",32
"what","a",32
"you","should",32
"a","friend",31
"a","really",31
"a","single",31
"all","this",31
"are","in",31
"as","my",31
"as","she",31
"but","if",31
"but","in",31
"can","do",31
"do","i",31
"group","of",31
"high","school",31
"it","as",31
"it","had",31
"living","in",31
"of","other",31
"on","that",31
"one","that",31
"out","for",31
"put","the",31
"said","i",31
"someone","who",31
"the","moment",31
"the","road",31
"the","season",31
"the","street",31
"to","eat",31
"we","did",31
"we","went",31
"who","was",31
"you","cant",31
"a","different",30
"a","person",30
"and","an",30
"came","to",30
"every","time",30
"has","the",30
"i","go",30
"known","as",30
"life","and",30
"me","the",30
"on","how",30
"one","is",30
"started","to",30
"thanks","to",30
"that","its",30
"that","were",30
"the","bottom",30
"the","show",30
"they","would",30
"thought","i",30
"type","of",30
"until","the",30
"use","of",30
"was","an",30
"was","really",30
"what","they",30
"who","has",30
"with","him",30
"you","like",30
"your","life",30
"a","special",29
"be","an",29
"can","you",29
"for","more",29
"give","you",29
"have","not",29
"here","and",29
"idea","of",29
"if","there",29
"my","head",29
"of","things",29
"off","to",29
"on","it",29
"one","thing",29
"other","people",29
"over","a",29
"people","in",29
"plenty","of",29
"see","how",29
"the","future",29
"the","ground",29
"the","light",29
"the","little",29
"the","national",29
"the","police",29
"the","years",29
"think","about",29
"this","morning",29
"those","of",29
"to","become",29
"to","let",29
"to","move",29
"told","me",29
"we","dont",29
"we","need",29
"with","some",29
"a","group",28
"a","place",28
"a","real",28
"a","second",28
"after","all",28
"at","pm",28
"both","of",28
"but","this",28
"day","of",28
"dont","think",28
"even","the",28
"family","and",28
"few","weeks",28
"home","and",28
"i","might",28
"i","see",28
"it","makes",28
"live","in",28
"made","me",28
"makes","me",28
"more","and",28
"needs","to",28
"none","of",28
"one","day",28
"or","so",28
"out","on",28
"over","to",28
"see","what",28
"take","the",28
"tend","to",28
"that","of",28
"the","door",28
"the","girls",28
"the","group",28
"the","number",28
"the","problem",28
"the","sun",28
"the","water",28
"thinking","about",28
"to","ask",28
"to","pay",28
"to","visit",28
"to","win",28
"use","the",28
"using","the",28
"wanting","to",28
"were","all",28
"were","not",28
"within","the",28
"year","and",28
"you","were",28
"a","chance",27
"about","my",27
"about","what",27
"along","the",27
"and","also",27
"and","now",27
"and","with",27
"are","just",27
"are","so",27
"back","in",27
"become","a",27
"believe","in",27
"called","the",27
"easy","to",27
"few","years",27
"had","no",27
"in","any",27
"it","may",27
"it","so",27
"look","like",27
"might","have",27
"next","to",27
"no","matter",27
"not","as",27
"not","in",27
"not","so",27
"not","that",27
