"unigram","bigram","trigram","quadgram","freq"
"the","rest","of","the",41
"the","end","of","the",35
"at","the","end","of",33
"one","of","the","most",31
"when","it","comes","to",26
"for","the","first","time",25
"at","the","same","time",22
"is","one","of","the",20
"on","the","other","hand",19
"as","well","as","the",17
"if","you","want","to",17
"in","the","middle","of",17
"as","much","as","i",15
"i","am","going","to",15
"i","was","going","to",15
"one","of","my","favorite",15
"i","was","able","to",14
"i","dont","want","to",13
"i","have","to","say",13
"i","would","like","to",13
"to","be","able","to",13
"for","the","rest","of",12
"i","dont","know","what",12
"the","back","of","the",12
"was","going","to","be",12
"is","going","to","be",11
"it","would","have","been",11
"the","bottom","of","the",11
"the","middle","of","the",11
"a","couple","of","weeks",10
"as","a","result","of",10
"as","you","can","see",10
"going","to","be","a",10
"i","didnt","want","to",10
"i","dont","know","why",10
"i","thought","i","would",10
"in","front","of","the",10
"in","the","first","place",10
"is","one","of","my",10
"the","first","time","i",10
"to","do","with","the",10
"a","few","weeks","ago",9
"as","well","as","a",9
"for","a","long","time",9
"i","cant","wait","to",9
"i","have","a","few",9
"i","have","no","idea",9
"i","would","love","to",9
"in","front","of","me",9
"in","the","united","states",9
"most","of","the","time",9
"on","the","side","of",9
"the","best","way","to",9
"to","go","to","the",9
"what","do","you","think",9
"a","lot","of","time",8
"alcohol","clin","exp","res",8
"all","over","the","place",8
"for","the","most","part",8
"for","those","of","you",8
"i","want","to","be",8
"in","the","name","of",8
"nothing","to","do","with",8
"of","one","of","the",8
"once","in","a","while",8
"the","fact","that","the",8
"the","paintball","marker","repair",8
"the","side","of","the",8
"there","will","be","a",8
"to","come","up","with",8
"turned","out","to","be",8
"will","be","able","to",8
"you","would","like","to",8
"a","bit","of","a",7
"a","couple","of","days",7
"and","it","was","a",7
"and","this","is","the",7
"at","the","bottom","of",7
"at","the","top","of",7
"couple","of","weeks","ago",7
"for","a","couple","of",7
"for","a","few","minutes",7
"go","back","to","the",7
"going","to","have","to",7
"had","to","go","to",7
"here","are","a","few",7
"i","thought","it","was",7
"i","thought","it","would",7
"i","wish","i","could",7
"if","there","is","a",7
"if","you","would","like",7
"im","not","going","to",7
"is","one","of","those",7
"it","was","one","of",7
"it","was","time","to",7
"may","or","may","not",7
"my","husband","and","i",7
"one","of","the","few",7
"so","that","i","can",7
"some","of","the","best",7
"thank","you","so","much",7
"the","edge","of","the",7
"the","new","york","times",7
"the","past","few","years",7
"there","are","plenty","of",7
"those","of","us","who",7
"those","of","you","who",7
"thought","it","would","be",7
"to","get","out","of",7
"to","the","fact","that",7
"a","copy","of","the",6
"a","few","of","the",6
"a","great","way","to",6
"a","little","bit","of",6
"alcohol","health","res","world",6
"and","a","couple","of",6
"and","one","of","the",6
"are","going","to","be",6
"as","long","as","i",6
"as","one","of","the",6
"do","you","have","any",6
"dont","know","why","i",6
"had","a","lot","of",6
"have","no","idea","what",6
"i","dont","have","to",6
"i","dont","know","if",6
"i","might","as","well",6
"i","need","to","get",6
"i","was","a","little",6
"i","went","to","the",6
"if","you","are","a",6
"if","you","have","a",6
"in","the","face","of",6
"in","the","way","of",6
"it","is","one","of",6
"it","seems","to","me",6
"it","would","be","better",6
"its","going","to","be",6
"of","the","fact","that",6
"of","the","united","states",6
"one","of","my","favorites",6
"one","of","the","best",6
"over","the","last","few",6
"so","i","decided","to",6
"some","of","the","most",6
"take","a","look","at",6
"the","fact","that","i",6
"the","front","of","the",6
"the","most","important","thing",6
"the","other","side","of",6
"the","power","of","the",6
"the","top","of","the",6
"the","way","to","the",6
"there","are","a","few",6
"this","is","one","of",6
"this","is","the","first",6
"to","go","back","to",6
"to","the","rest","of",6
"trying","to","figure","out",6
"was","one","of","the",6
"was","the","first","time",6
"we","went","to","the",6
"you","can","see","the",6
"a","couple","of","years",5
"a","few","weeks","back",5
"a","lot","of","people",5
"a","part","of","the",5
"a","whole","lot","of",5
"all","the","way","to",5
"and","i","have","to",5
"and","i","will","be",5
"and","it","was","the",5
"and","look","forward","to",5
"and","with","all","your",5
"as","much","as","you",5
"as","much","money","as",5
"as","soon","as","i",5
"at","the","beginning","of",5
"at","the","expense","of",5
"at","the","time","of",5
"but","at","the","same",5
"but","it","is","also",5
"by","the","end","of",5
"by","the","time","you",5
"came","up","with","the",5
"do","you","want","to",5
"dont","know","about","you",5
"early","in","the","morning",5
"for","a","few","days",5
"for","me","and","i",5
"for","those","of","us",5
"from","time","to","time",5
"grew","up","in","the",5
"have","a","chance","to",5
"have","a","great","weekend",5
"have","a","lot","of",5
"have","no","idea","how",5
"have","to","say","i",5
"i","am","not","a",5
"i","came","up","with",5
"i","can","tell","you",5
"i","do","not","know",5
"i","dont","know","about",5
"i","dont","know","how",5
"i","had","to","get",5
"i","have","made","the",5
"i","just","have","to",5
"i","just","wanted","to",5
"i","need","to","be",5
"i","want","you","to",5
"i","was","trying","to",5
"i","will","never","forget",5
"im","not","sure","if",5
"im","not","sure","why",5
"in","a","couple","of",5
"in","a","way","that",5
"in","an","attempt","to",5
"in","order","to","get",5
"in","the","case","of",5
"in","the","fact","that",5
"in","the","hall","of",5
"in","the","last","year",5
"in","the","morning","and",5
"in","the","th","century",5
"is","a","good","thing",5
"is","supposed","to","be",5
"it","seems","that","the",5
"it","was","a","great",5
"it","was","nice","to",5
"know","about","you","but",5
"made","it","to","the",5
"not","be","able","to",5
"nothing","more","than","a",5
"of","my","life","i",5
"of","some","of","the",5
"of","the","season","and",5
"on","a","daily","basis",5
"on","the","back","of",5
"on","the","edge","of",5
"on","the","other","side",5
"our","lord","jesus","christ",5
"out","to","be","a",5
"rest","of","the","season",5
"said","in","a","statement",5
"seems","to","be","a",5
"that","doesnt","mean","that",5
"that","i","had","a",5
"that","i","had","to",5
"that","i","have","been",5
"that","i","need","to",5
"that","it","was","time",5
"the","beginning","of","the",5
"the","face","of","the",5
"the","first","week","of",5
"the","hall","of","fame",5
"the","last","few","years",5
"the","last","time","i",5
"the","majority","of","the",5
"the","name","of","the",5
"the","other","day","i",5
"the","rest","of","my",5
"the","role","of","the",5
"the","size","of","a",5
"the","size","of","the",5
"the","story","of","how",5
"there","are","so","many",5
"there","is","so","much",5
"there","was","a","lot",5
"this","is","not","a",5
"to","get","back","to",5
"to","give","it","a",5
"to","make","up","for",5
"to","see","if","they",5
"to","the","end","of",5
"up","in","the","morning",5
"wanted","to","go","to",5
"we","are","going","to",5
"what","to","do","with",5
"would","have","to","be",5
"a","better","way","to",4
"a","big","fan","of",4
"a","chance","to","win",4
"a","friend","of","mine",4
"a","good","deal","of",4
"a","great","deal","of",4
"a","little","bit","more",4
"a","lot","of","the",4
"a","picture","of","a",4
"a","week","and","a",4
"and","a","bit","of",4
"and","a","lot","of",4
"and","came","up","with",4
"and","i","am","not",4
"and","i","cant","believe",4
"and","i","dont","know",4
"and","i","think","i",4
"and","i","went","to",4
"and","im","going","to",4
"and","not","to","mention",4
"and","there","is","no",4
"and","turned","into","a",4
"and","you","have","a",4
"as","far","back","as",4
"as","it","turns","out",4
"as","long","as","it",4
"as","part","of","the",4
"at","the","age","of",4
"at","the","time","i",4
"at","the","university","of",4
"be","able","to","get",4
"be","able","to","see",4
"because","it","is","a",4
"but","for","the","most",4
"but","i","do","know",4
"but","i","think","that",4
"can","be","found","at",4
"can","be","found","in",4
"cant","wait","to","see",4
"come","up","with","a",4
"correspond","to","there","being",4
"couple","of","years","ago",4
"despite","the","fact","that",4
"did","you","know","that",4
"do","a","lot","of",4
"do","not","have","the",4
"do","the","right","thing",4
"do","you","have","a",4
"dont","get","me","wrong",4
"dont","know","how","i",4
"even","though","i","was",4
"every","now","and","then",4
"every","once","in","a",4
"feel","like","i","have",4
"follow","me","on","twitter",4
"for","a","while","and",4
"for","most","of","the",4
"for","some","reason","i",4
"for","the","life","of",4
"give","it","a","try",4
"got","a","lot","of",4
"had","a","hard","time",4
"had","never","heard","of",4
"have","a","bit","of",4
"have","to","do","the",4
"having","a","great","time",4
"he","was","going","to",4
"hope","to","see","you",4
"how","much","i","love",4
"i","am","not","sure",4
"i","am","saying","is",4
"i","cant","think","of",4
"i","could","feel","my",4
"i","didnt","even","know",4
"i","do","have","a",4
"i","do","not","have",4
"i","felt","like","i",4
"i","had","no","idea",4
"i","had","to","do",4
"i","have","a","feeling",4
"i","have","to","admit",4
"i","have","to","be",4
"i","have","tried","to",4
"i","know","i","am",4
"i","know","i","know",4
"i","made","a","mistake",4
"i","need","to","do",4
"i","realized","that","i",4
"i","think","it","was",4
"i","think","that","the",4
"i","thought","i","was",4
"i","want","to","do",4
"i","wanted","to","make",4
"i","was","looking","for",4
"if","you","dont","know",4
"if","you","dont","like",4
"im","going","to","be",4
"im","not","sure","what",4
"in","a","different","way",4
"in","new","york","city",4
"in","the","back","of",4
"in","the","course","of",4
"in","the","form","of",4
"in","the","history","of",4
"in","the","last","few",4
"in","the","life","of",4
"in","the","midst","of",4
"in","the","process","of",4
"in","the","same","way",4
"in","the","wake","of",4
"incorporated","in","item","c",4
"is","based","on","the",4
"is","not","the","only",4
"it","all","over","again",4
"it","as","much","as",4
"it","comes","down","to",4
"it","has","been","a",4
"it","is","difficult","to",4
"it","is","easy","to",4
"it","was","a","bit",4
"it","would","be","a",4
"its","not","like","i",4
"just","a","little","bit",4
"know","what","to","do",4
"leave","a","comment","on",4
"like","one","of","the",4
"looking","forward","to","the",4
"made","me","think","of",4
"me","and","i","will",4
"more","than","a","year",4
"much","as","you","can",4
"my","wife","and","i",4
"not","a","fan","of",4
"not","as","much","as",4
"not","being","able","to",4
"not","that","i","dont",4
"not","to","mention","the",4
"of","our","lord","jesus",4
"of","the","holy","spirit",4
"of","the","most","popular",4
"of","who","we","are",4
"on","and","off","the",4
"on","the","bottom","of",4
"on","the","lookout","for",4
"on","the","top","of",4
"one","of","the","things",4
"one","of","those","days",4
"other","side","of","the",4
"out","of","the","way",4
"over","the","past","few",4
"please","let","me","know",4
"quite","a","bit","of",4
"quite","a","lot","of",4
"relativistic","quantum","field","theories",4
"should","be","able","to",4
"since","i","was","a",4
"so","i","have","a",4
"than","the","fact","that",4
"that","i","wanted","to",4
"that","there","is","a",4
"the","base","of","the",4
"the","beginning","of","this",4
"the","day","after","i",4
"the","fact","that","this",4
"the","first","part","of",4
"the","first","time","in",4
