"unigram","bigram","trigram","quadgram","quantgram","freq"
"at","the","end","of","the",19
"in","the","middle","of","the",8
"a","couple","of","weeks","ago",7
"for","the","rest","of","the",6
"i","dont","know","why","i",6
"i","thought","it","would","be",6
"but","at","the","same","time",5
"dont","know","about","you","but",5
"for","those","of","you","who",5
"i","have","no","idea","what",5
"if","you","would","like","to",5
"in","the","hall","of","fame",5
"the","rest","of","the","season",5
"a","couple","of","years","ago",4
"all","the","way","to","the",4
"and","i","went","to","the",4
"as","much","as","you","can",4
"but","for","the","most","part",4
"for","the","life","of","me",4
"i","dont","know","about","you",4
"i","have","to","say","i",4
"is","one","of","the","most",4
"it","is","one","of","my",4
"it","was","one","of","the",4
"of","our","lord","jesus","christ",4
"on","the","other","hand","i",4
"on","the","other","side","of",4
"on","the","side","of","the",4
"over","the","past","few","years",4
"the","other","side","of","the",4
"there","was","a","lot","of",4
"to","the","rest","of","the",4
"what","i","am","saying","is",4
"a","few","weeks","ago","that",3
"and","certain","other","arrangements","correspond",3
"and","i","have","to","be",3
"are","not","the","only","ones",3
"arrangements","correspond","to","there","being",3
"as","much","as","i","do",3
"at","the","beginning","of","this",3
"at","the","bottom","of","the",3
"at","the","top","of","the",3
"certain","other","arrangements","correspond","to",3
"do","it","all","over","again",3
"dont","get","me","wrong","i",3
"dont","have","to","worry","about",3
"dont","know","what","to","do",3
"every","once","in","a","while",3
"for","a","couple","of","days",3
"for","the","first","time","in",3
"for","those","of","us","who",3
"here","we","are","at","the",3
"how","many","times","have","you",3
"husband","on","the","other","hand",3
"i","cant","wait","to","see",3
"i","do","not","have","a",3
"i","dont","know","what","to",3
"i","fell","in","love","with",3
"i","had","a","lot","of",3
"i","had","never","heard","of",3
"i","knew","i","had","to",3
"i","realized","that","i","was",3
"i","said","i","was","going",3
"i","thought","i","would","share",3
"i","waited","pointlessly","for","my",3
"i","want","to","talk","about",3
"i","was","going","to","be",3
"i","will","be","able","to",3
"im","not","sure","if","i",3
"in","front","of","me","was",3
"incorporated","in","item","c","above",3
"is","thanks","to","this","elite",3
"it","could","be","used","to",3
"it","is","thanks","to","this",3
"it","turned","out","to","be",3
"it","would","be","better","to",3
"its","not","that","i","dont",3
"john","smiths","grand","national","record",3
"my","husband","on","the","other",3
"need","to","get","out","of",3
"of","the","fact","that","i",3
"on","a","first","name","basis",3
"on","the","back","of","the",3
"on","the","bottom","of","the",3
"on","the","edge","of","the",3
"once","in","a","while","so",3
"other","arrangements","correspond","to","there",3
"over","the","last","few","months",3
"part","of","who","we","are",3
"said","i","was","going","to",3
"should","we","never","settle","for",3
"sometimes","you","just","have","to",3
"st","dc","in","next","st",3
"thanks","to","this","elite","that",3
"that","a","few","of","the",3
"that","it","was","time","to",3
"the","end","of","the","day",3
"the","middle","of","the","night",3
"the","most","important","thing","is",3
"the","new","york","city","department",3
"the","rest","of","my","life",3
"there","are","a","number","of",3
"there","is","the","possibility","of",3
"they","wanted","to","go","to",3
"to","be","included","in","the",3
"to","do","the","right","thing",3
"to","go","back","to","the",3
"to","make","up","for","the",3
"turned","out","to","be","a",3
"wake","up","in","the","morning",3
"was","going","to","be","a",3
"we","are","not","the","only",3
"you","are","the","light","of",3
"you","can","see","in","the",3
"you","will","be","able","to",3
"a","bit","faster","than","inflation",2
"a","bit","of","spicy","hops",2
"a","bit","of","time","to",2
"a","chance","to","win","a",2
"a","comment","on","the","blog",2
"a","first","name","basis","with",2
"a","great","way","to","get",2
"a","hell","of","a","lot",2
"a","little","about","me","i",2
"a","little","bit","he","said",2
"a","little","bit","more","of",2
"a","long","and","indeed","lucrative",2
"a","lot","of","hard","work",2
"a","lot","of","time","and",2
"a","lot","of","time","but",2
"a","love","that","says","jason",2
"a","man","and","a","woman",2
"a","mode","of","life","dominated",2
"a","privilege","to","make","an",2
"a","roller","coaster","of","emotions",2
"a","stay","at","home","mom",2
"a","time","when","we","were",2
"a","way","of","life","for",2
"a","way","to","ensure","that",2
"a","week","and","a","half",2
"a","year","in","the","life",2
"a","year","or","so","later",2
"able","to","join","us","this",2
"accordance","with","the","scriptures","and",2
"account","of","your","race","that",2
"again","were","caught","charged","and",2
"alcohol","clin","exp","res","pfefferbaum",2
"alcohol","consumption","alcohol","clin","exp",2
"alcohol","health","res","world","parsons",2
"all","i","can","tell","you",2
"all","in","all","it","was",2
"all","over","the","place","i",2
"all","the","rest","of","the",2
"all","the","time","and","then",2
"all","you","can","think","about",2
"all","you","have","to","do",2
"all","your","heart","and","with",2
"all","your","soul","and","with",2
"almost","year","since","the","day",2
"always","a","sandwich","id","rather",2
"always","bought","a","super","lunch",2
"am","a","big","fan","of",2
"am","going","to","have","to",2
"am","in","awe","of","the",2
"am","just","tired","of","talking",2
"an","hour","and","a","half",2
"an","impact","on","the","lives",2
"an","integral","part","of","the",2
"an","rb","singles","chart","entry",2
"an","unusually","warm","and","dry",2
"and","a","host","of","other",2
"and","a","whole","lot","of",2
"and","at","the","same","time",2
"and","by","little","i","mean",2
"and","came","up","with","a",2
"and","came","up","with","the",2
"and","crack","that","wrist","man",2
"and","for","the","first","time",2
"and","for","those","of","you",2
"and","he","will","give","you",2
"and","i","are","going","to",2
"and","i","cant","believe","i",2
"and","i","dont","know","what",2
"and","i","have","plenty","of",2
"and","i","only","have","to",2
"and","i","thought","to","myself",2
"and","indeed","lucrative","tradition","of",2
"and","it","has","made","it",2
"and","ive","always","wanted","to",2
"and","let","me","know","what",2
"and","not","being","able","to",2
"and","put","it","in","the",2
"and","replacing","it","with","a",2
"and","similes","are","wonderful","things",2
"and","the","district","of","columbia",2
"and","the","modulating","voltage","is",2
"and","then","on","sunday","our",2
"and","there","are","those","who",2
"and","there","was","a","lot",2
"and","what","can","be","done",2
"and","with","all","your","soul",2
"and","with","all","your","strength",2
"anyone","who","is","a","big",2
"anyone","who","is","reading","this",2
"are","at","the","end","of",2
"are","based","on","something","that",2
"are","just","going","to","have",2
"are","sure","to","be","a",2
"are","the","light","of","all",2
"around","in","the","middle","of",2
"as","a","matter","of","fact",2
"as","a","result","of","the",2
"as","far","back","as","i",2
"as","high","as","one","in",2
"as","i","like","to","call",2
"as","i","would","like","to",2
"as","if","she","were","a",2
"as","if","they","have","been",2
"as","it","turns","out","there",2
